  Date       Dividend   Company Ticker
  Date: 2021-11-29, Dividend: 0.7, Company Ticker: DOW,
  Date: 2019-11-07, Dividend: 0.36, Company Ticker: PFE,
  Date: 2019-11-06, Dividend: 0.32, Company Ticker: INTC,
  Date: 2019-11-04, Dividend: 0.31, Company Ticker: ET,
  Date: 2019-11-01, Dividend: 0.49, Company Ticker: BX,
  Date: 2019-11-01, Dividend: 0.51, Company Ticker: C,
  Date: 2019-11-01, Dividend: 0.92, Company Ticker: OKE,
  Date: 2019-10-31, Dividend: 0.23, Company Ticker: O,
  Date: 2019-10-30, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-10-30, Dividend: 0.44, Company Ticker: EPD,
  Date: 2019-10-30, Dividend: 0.25, Company Ticker: KMI,
  Date: 2019-10-30, Dividend: 0.35, Company Ticker: MS,
  Date: 2019-10-30, Dividend: 0.67, Company Ticker: OHI,
  Date: 2019-10-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-10-11, Dividend: 1.07, Company Ticker: ABBV,
  Date: 2019-10-09, Dividend: 0.51, Company Ticker: T,
  Date: 2019-10-09, Dividend: 0.62, Company Ticker: VZ,
  Date: 2019-10-03, Dividend: 0.9, Company Ticker: JPM,
  Date: 2019-10-02, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2019-09-30, Dividend: 0.23, Company Ticker: O,
  Date: 2019-09-27, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-09-27, Dividend: 0.78, Company Ticker: IIPR,
  Date: 2019-09-27, Dividend: 0.25, Company Ticker: NLY,
  Date: 2019-09-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-09-24, Dividend: 1.17, Company Ticker: PM,
  Date: 2019-09-13, Dividend: 0.84, Company Ticker: MO,
  Date: 2019-09-13, Dividend: 0.55, Company Ticker: MRK,
  Date: 2019-09-12, Dividend: 0.09, Company Ticker: DVN,
  Date: 2019-09-12, Dividend: 0.63, Company Ticker: GILD,
  Date: 2019-09-11, Dividend: 0.14, Company Ticker: NEM,
  Date: 2019-08-30, Dividend: 0.23, Company Ticker: O,
  Date: 2019-08-29, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-08-29, Dividend: 0.7, Company Ticker: DOW,
  Date: 2019-08-29, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2019-08-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-08-20, Dividend: 0.4, Company Ticker: KHC,
  Date: 2019-08-19, Dividend: 1.0, Company Ticker: PRU,
  Date: 2019-08-19, Dividend: 0.46, Company Ticker: WBA,
  Date: 2019-08-16, Dividend: 1.19, Company Ticker: CVX,
  Date: 2019-08-16, Dividend: 0.62, Company Ticker: SO,
  Date: 2019-08-16, Dividend: 0.96, Company Ticker: UPS,
  Date: 2019-08-15, Dividend: 0.95, Company Ticker: DUK,
  Date: 2019-08-15, Dividend: 1.44, Company Ticker: MMM,
  Date: 2019-08-15, Dividend: 2.1, Company Ticker: SPG,
  Date: 2019-08-14, Dividend: 1.45, Company Ticker: AMGN,
  Date: 2019-08-14, Dividend: 0.56, Company Ticker: ENB,
  Date: 2019-08-13, Dividend: 0.1, Company Ticker: PBR,
  Date: 2019-08-12, Dividend: 0.87, Company Ticker: XOM,
  Date: 2019-08-08, Dividend: 0.62, Company Ticker: BP,
  Date: 2019-08-08, Dividend: 0.46, Company Ticker: GSK,
  Date: 2019-08-08, Dividend: 1.62, Company Ticker: IBM,
  Date: 2019-08-08, Dividend: 2.12, Company Ticker: RIO,
  Date: 2019-08-06, Dividend: 0.32, Company Ticker: INTC,
  Date: 2019-08-05, Dividend: 0.31, Company Ticker: ET,
  Date: 2019-08-05, Dividend: 0.89, Company Ticker: OKE,
  Date: 2019-08-05, Dividend: 0.9, Company Ticker: VLO,
  Date: 2019-08-02, Dividend: 0.51, Company Ticker: C,
  Date: 2019-08-01, Dividend: 0.36, Company Ticker: PFE,
  Date: 2019-07-31, Dividend: 0.23, Company Ticker: O,
  Date: 2019-07-30, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-07-30, Dividend: 0.44, Company Ticker: EPD,
  Date: 2019-07-30, Dividend: 0.25, Company Ticker: KMI,
  Date: 2019-07-30, Dividend: 0.35, Company Ticker: MS,
  Date: 2019-07-30, Dividend: 0.66, Company Ticker: OHI,
  Date: 2019-07-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-07-26, Dividend: 0.48, Company Ticker: BX,
  Date: 2019-07-12, Dividend: 1.07, Company Ticker: ABBV,
  Date: 2019-07-09, Dividend: 0.51, Company Ticker: T,
  Date: 2019-07-09, Dividend: 0.6, Company Ticker: VZ,
  Date: 2019-07-03, Dividend: 0.8, Company Ticker: JPM,
  Date: 2019-06-28, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2019-06-28, Dividend: 0.23, Company Ticker: O,
  Date: 2019-06-27, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-06-27, Dividend: 0.6, Company Ticker: IIPR,
  Date: 2019-06-27, Dividend: 0.25, Company Ticker: NLY,
  Date: 2019-06-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-06-20, Dividend: 1.14, Company Ticker: PM,
  Date: 2019-06-14, Dividend: 0.55, Company Ticker: MRK,
  Date: 2019-06-13, Dividend: 0.09, Company Ticker: DVN,
  Date: 2019-06-13, Dividend: 0.63, Company Ticker: GILD,
  Date: 2019-06-13, Dividend: 0.8, Company Ticker: MO,
  Date: 2019-06-05, Dividend: 0.14, Company Ticker: NEM,
  Date: 2019-05-31, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2019-05-31, Dividend: 0.23, Company Ticker: O,
  Date: 2019-05-30, Dividend: 0.16, Company Ticker: AGNC,
  Date: 2019-05-30, Dividend: 0.7, Company Ticker: DOW,
  Date: 2019-05-30, Dividend: 0.4, Company Ticker: KHC,
  Date: 2019-05-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-05-24, Dividend: 1.0, Company Ticker: PRU,
  Date: 2019-05-23, Dividend: 1.44, Company Ticker: MMM,
  Date: 2019-05-22, Dividend: 0.05, Company Ticker: PBR,
  Date: 2019-05-17, Dividend: 0.62, Company Ticker: SO,
  Date: 2019-05-17, Dividend: 0.96, Company Ticker: UPS,
  Date: 2019-05-17, Dividend: 0.44, Company Ticker: WBA,
  Date: 2019-05-16, Dividend: 1.45, Company Ticker: AMGN,
  Date: 2019-05-16, Dividend: 1.19, Company Ticker: CVX,
  Date: 2019-05-16, Dividend: 0.93, Company Ticker: DUK,
  Date: 2019-05-16, Dividend: 0.5, Company Ticker: GSK,
  Date: 2019-05-16, Dividend: 2.05, Company Ticker: SPG,
  Date: 2019-05-14, Dividend: 0.55, Company Ticker: ENB,
  Date: 2019-05-14, Dividend: 0.9, Company Ticker: VLO,
  Date: 2019-05-10, Dividend: 0.87, Company Ticker: XOM,
  Date: 2019-05-09, Dividend: 0.62, Company Ticker: BP,
  Date: 2019-05-09, Dividend: 1.62, Company Ticker: IBM,
  Date: 2019-05-09, Dividend: 0.36, Company Ticker: PFE,
  Date: 2019-05-06, Dividend: 0.31, Company Ticker: ET,
  Date: 2019-05-06, Dividend: 0.32, Company Ticker: INTC,
  Date: 2019-05-03, Dividend: 0.45, Company Ticker: C,
  Date: 2019-04-30, Dividend: 0.23, Company Ticker: O,
  Date: 2019-04-29, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2019-04-29, Dividend: 0.44, Company Ticker: EPD,
  Date: 2019-04-29, Dividend: 0.25, Company Ticker: KMI,
  Date: 2019-04-29, Dividend: 0.3, Company Ticker: MS,
  Date: 2019-04-29, Dividend: 0.66, Company Ticker: OHI,
  Date: 2019-04-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-04-26, Dividend: 0.37, Company Ticker: BX,
  Date: 2019-04-26, Dividend: 0.87, Company Ticker: OKE,
  Date: 2019-04-16, Dividend: 0.88, Company Ticker: NEM,
  Date: 2019-04-12, Dividend: 1.07, Company Ticker: ABBV,
  Date: 2019-04-09, Dividend: 0.51, Company Ticker: T,
  Date: 2019-04-09, Dividend: 0.6, Company Ticker: VZ,
  Date: 2019-04-04, Dividend: 0.8, Company Ticker: JPM,
  Date: 2019-04-03, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2019-03-29, Dividend: 0.23, Company Ticker: O,
  Date: 2019-03-28, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2019-03-28, Dividend: 0.45, Company Ticker: IIPR,
  Date: 2019-03-28, Dividend: 0.3, Company Ticker: NLY,
  Date: 2019-03-28, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-03-25, Dividend: 1.14, Company Ticker: PM,
  Date: 2019-03-22, Dividend: 0.8, Company Ticker: MO,
  Date: 2019-03-14, Dividend: 0.08, Company Ticker: DVN,
  Date: 2019-03-14, Dividend: 0.63, Company Ticker: GILD,
  Date: 2019-03-14, Dividend: 0.55, Company Ticker: MRK,
  Date: 2019-03-11, Dividend: 0.25, Company Ticker: LUMN,
  Date: 2019-03-07, Dividend: 0.4, Company Ticker: KHC,
  Date: 2019-03-07, Dividend: 2.44, Company Ticker: RIO,
  Date: 2019-03-06, Dividend: 0.14, Company Ticker: NEM,
  Date: 2019-02-28, Dividend: 0.23, Company Ticker: O,
  Date: 2019-02-27, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2019-02-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-02-25, Dividend: 0.96, Company Ticker: UPS,
  Date: 2019-02-21, Dividend: 0.6, Company Ticker: GSK,
  Date: 2019-02-19, Dividend: 1.0, Company Ticker: PRU,
  Date: 2019-02-15, Dividend: 0.6, Company Ticker: SO,
  Date: 2019-02-14, Dividend: 1.45, Company Ticker: AMGN,
  Date: 2019-02-14, Dividend: 0.62, Company Ticker: BP,
  Date: 2019-02-14, Dividend: 1.19, Company Ticker: CVX,
  Date: 2019-02-14, Dividend: 0.93, Company Ticker: DUK,
  Date: 2019-02-14, Dividend: 0.56, Company Ticker: ENB,
  Date: 2019-02-14, Dividend: 1.44, Company Ticker: MMM,
  Date: 2019-02-14, Dividend: 0.44, Company Ticker: WBA,
  Date: 2019-02-13, Dividend: 2.05, Company Ticker: SPG,
  Date: 2019-02-12, Dividend: 0.9, Company Ticker: VLO,
  Date: 2019-02-08, Dividend: 0.58, Company Ticker: BX,
  Date: 2019-02-08, Dividend: 0.82, Company Ticker: XOM,
  Date: 2019-02-07, Dividend: 0.31, Company Ticker: ET,
  Date: 2019-02-07, Dividend: 1.57, Company Ticker: IBM,
  Date: 2019-02-06, Dividend: 0.32, Company Ticker: INTC,
  Date: 2019-02-01, Dividend: 0.45, Company Ticker: C,
  Date: 2019-01-31, Dividend: 0.23, Company Ticker: O,
  Date: 2019-01-31, Dividend: 0.36, Company Ticker: PFE,
  Date: 2019-01-30, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2019-01-30, Dividend: 0.44, Company Ticker: EPD,
  Date: 2019-01-30, Dividend: 0.2, Company Ticker: KMI,
  Date: 2019-01-30, Dividend: 0.3, Company Ticker: MS,
  Date: 2019-01-30, Dividend: 0.66, Company Ticker: OHI,
  Date: 2019-01-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2019-01-25, Dividend: 0.86, Company Ticker: OKE,
  Date: 2019-01-14, Dividend: 1.07, Company Ticker: ABBV,
  Date: 2019-01-09, Dividend: 0.51, Company Ticker: T,
  Date: 2019-01-09, Dividend: 0.6, Company Ticker: VZ,
  Date: 2019-01-03, Dividend: 0.8, Company Ticker: JPM,
  Date: 2018-12-31, Dividend: 0.22, Company Ticker: O,
  Date: 2018-12-31, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-12-28, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-12-28, Dividend: 0.35, Company Ticker: IIPR,
  Date: 2018-12-28, Dividend: 0.3, Company Ticker: NLY,
  Date: 2018-12-28, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2018-12-28, Dividend: 0.03, Company Ticker: PBR,
  Date: 2018-12-24, Dividend: 0.8, Company Ticker: MO,
  Date: 2018-12-19, Dividend: 1.14, Company Ticker: PM,
  Date: 2018-12-14, Dividend: 0.55, Company Ticker: MRK,
  Date: 2018-12-13, Dividend: 0.08, Company Ticker: DVN,
  Date: 2018-12-13, Dividend: 0.57, Company Ticker: GILD,
  Date: 2018-12-06, Dividend: 0.14, Company Ticker: NEM,
  Date: 2018-11-30, Dividend: 0.22, Company Ticker: O,
  Date: 2018-11-29, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-11-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-11-23, Dividend: 0.54, Company Ticker: LUMN,
  Date: 2018-11-23, Dividend: 0.05, Company Ticker: PBR,
  Date: 2018-11-23, Dividend: 0.9, Company Ticker: PRU,
  Date: 2018-11-21, Dividend: 1.36, Company Ticker: MMM,
  Date: 2018-11-19, Dividend: 0.8, Company Ticker: VLO,
  Date: 2018-11-16, Dividend: 0.6, Company Ticker: SO,
  Date: 2018-11-16, Dividend: 0.91, Company Ticker: UPS,
  Date: 2018-11-15, Dividend: 1.32, Company Ticker: AMGN,
  Date: 2018-11-15, Dividend: 1.12, Company Ticker: CVX,
  Date: 2018-11-15, Dividend: 0.93, Company Ticker: DUK,
  Date: 2018-11-15, Dividend: 0.49, Company Ticker: GSK,
  Date: 2018-11-15, Dividend: 0.63, Company Ticker: KHC,
  Date: 2018-11-15, Dividend: 2.0, Company Ticker: SPG,
  Date: 2018-11-14, Dividend: 0.51, Company Ticker: ENB,
  Date: 2018-11-09, Dividend: 0.82, Company Ticker: XOM,
  Date: 2018-11-08, Dividend: 0.62, Company Ticker: BP,
  Date: 2018-11-08, Dividend: 1.57, Company Ticker: IBM,
  Date: 2018-11-08, Dividend: 0.34, Company Ticker: PFE,
  Date: 2018-11-08, Dividend: 0.44, Company Ticker: WBA,
  Date: 2018-11-07, Dividend: 0.31, Company Ticker: ET,
  Date: 2018-11-06, Dividend: 0.3, Company Ticker: INTC,
  Date: 2018-11-02, Dividend: 0.45, Company Ticker: C,
  Date: 2018-11-02, Dividend: 0.86, Company Ticker: OKE,
  Date: 2018-10-31, Dividend: 0.22, Company Ticker: O,
  Date: 2018-10-30, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-10-30, Dividend: 0.43, Company Ticker: EPD,
  Date: 2018-10-30, Dividend: 0.2, Company Ticker: KMI,
  Date: 2018-10-30, Dividend: 0.3, Company Ticker: MS,
  Date: 2018-10-30, Dividend: 0.66, Company Ticker: OHI,
  Date: 2018-10-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-10-26, Dividend: 0.64, Company Ticker: BX,
  Date: 2018-10-12, Dividend: 0.96, Company Ticker: ABBV,
  Date: 2018-10-09, Dividend: 0.5, Company Ticker: T,
  Date: 2018-10-09, Dividend: 0.6, Company Ticker: VZ,
  Date: 2018-10-04, Dividend: 0.8, Company Ticker: JPM,
  Date: 2018-09-28, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2018-09-28, Dividend: 0.22, Company Ticker: O,
  Date: 2018-09-27, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-09-27, Dividend: 0.35, Company Ticker: IIPR,
  Date: 2018-09-27, Dividend: 0.08, Company Ticker: NLY,
  Date: 2018-09-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-09-25, Dividend: 1.14, Company Ticker: PM,
  Date: 2018-09-14, Dividend: 0.48, Company Ticker: MRK,
  Date: 2018-09-13, Dividend: 0.08, Company Ticker: DVN,
  Date: 2018-09-13, Dividend: 0.57, Company Ticker: GILD,
  Date: 2018-09-13, Dividend: 0.8, Company Ticker: MO,
  Date: 2018-09-12, Dividend: 0.14, Company Ticker: NEM,
  Date: 2018-09-05, Dividend: 0.22, Company Ticker: NLY,
  Date: 2018-08-31, Dividend: 0.22, Company Ticker: O,
  Date: 2018-08-30, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-08-30, Dividend: 0.54, Company Ticker: LUMN,
  Date: 2018-08-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-08-23, Dividend: 1.36, Company Ticker: MMM,
  Date: 2018-08-20, Dividend: 0.9, Company Ticker: PRU,
  Date: 2018-08-17, Dividend: 0.6, Company Ticker: SO,
  Date: 2018-08-17, Dividend: 0.91, Company Ticker: UPS,
  Date: 2018-08-17, Dividend: 0.44, Company Ticker: WBA,
  Date: 2018-08-16, Dividend: 1.32, Company Ticker: AMGN,
  Date: 2018-08-16, Dividend: 1.12, Company Ticker: CVX,
  Date: 2018-08-16, Dividend: 0.93, Company Ticker: DUK,
  Date: 2018-08-16, Dividend: 0.63, Company Ticker: KHC,
  Date: 2018-08-16, Dividend: 2.0, Company Ticker: SPG,
  Date: 2018-08-14, Dividend: 0.51, Company Ticker: ENB,
  Date: 2018-08-14, Dividend: 0.03, Company Ticker: PBR,
  Date: 2018-08-10, Dividend: 0.82, Company Ticker: XOM,
  Date: 2018-08-09, Dividend: 0.62, Company Ticker: BP,
  Date: 2018-08-09, Dividend: 0.5, Company Ticker: GSK,
  Date: 2018-08-09, Dividend: 1.57, Company Ticker: IBM,
  Date: 2018-08-09, Dividend: 1.27, Company Ticker: RIO,
  Date: 2018-08-06, Dividend: 0.3, Company Ticker: INTC,
  Date: 2018-08-06, Dividend: 0.8, Company Ticker: VLO,
  Date: 2018-08-03, Dividend: 0.45, Company Ticker: C,
  Date: 2018-08-03, Dividend: 0.305, Company Ticker: ET,
  Date: 2018-08-03, Dividend: 0.83, Company Ticker: OKE,
  Date: 2018-08-03, Dividend: 0.4, Company Ticker: VALE,
  Date: 2018-08-02, Dividend: 0.34, Company Ticker: PFE,
  Date: 2018-07-31, Dividend: 0.22, Company Ticker: O,
  Date: 2018-07-30, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-07-30, Dividend: 0.43, Company Ticker: EPD,
  Date: 2018-07-30, Dividend: 0.2, Company Ticker: KMI,
  Date: 2018-07-30, Dividend: 0.3, Company Ticker: MS,
  Date: 2018-07-30, Dividend: 0.66, Company Ticker: OHI,
  Date: 2018-07-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-07-27, Dividend: 0.58, Company Ticker: BX,
  Date: 2018-07-12, Dividend: 0.96, Company Ticker: ABBV,
  Date: 2018-07-09, Dividend: 0.5, Company Ticker: T,
  Date: 2018-07-09, Dividend: 0.59, Company Ticker: VZ,
  Date: 2018-07-05, Dividend: 0.56, Company Ticker: JPM,
  Date: 2018-06-29, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2018-06-29, Dividend: 0.22, Company Ticker: O,
  Date: 2018-06-28, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-06-28, Dividend: 0.25, Company Ticker: IIPR,
  Date: 2018-06-28, Dividend: 0.3, Company Ticker: NLY,
  Date: 2018-06-28, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-06-21, Dividend: 1.14, Company Ticker: PM,
  Date: 2018-06-14, Dividend: 0.08, Company Ticker: DVN,
  Date: 2018-06-14, Dividend: 0.57, Company Ticker: GILD,
  Date: 2018-06-14, Dividend: 0.7, Company Ticker: MO,
  Date: 2018-06-14, Dividend: 0.48, Company Ticker: MRK,
  Date: 2018-06-06, Dividend: 0.14, Company Ticker: NEM,
  Date: 2018-06-01, Dividend: 0.54, Company Ticker: LUMN,
  Date: 2018-05-31, Dividend: 0.22, Company Ticker: O,
  Date: 2018-05-30, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-05-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-05-22, Dividend: 0.03, Company Ticker: PBR,
  Date: 2018-05-21, Dividend: 0.9, Company Ticker: PRU,
  Date: 2018-05-18, Dividend: 0.6, Company Ticker: SO,
  Date: 2018-05-18, Dividend: 0.91, Company Ticker: UPS,
  Date: 2018-05-17, Dividend: 1.12, Company Ticker: CVX,
  Date: 2018-05-17, Dividend: 0.89, Company Ticker: DUK,
  Date: 2018-05-17, Dividend: 0.63, Company Ticker: KHC,
  Date: 2018-05-17, Dividend: 1.36, Company Ticker: MMM,
  Date: 2018-05-17, Dividend: 0.4, Company Ticker: WBA,
  Date: 2018-05-16, Dividend: 1.32, Company Ticker: AMGN,
  Date: 2018-05-16, Dividend: 1.95, Company Ticker: SPG,
  Date: 2018-05-16, Dividend: 0.8, Company Ticker: VLO,
  Date: 2018-05-14, Dividend: 0.52, Company Ticker: ENB,
  Date: 2018-05-11, Dividend: 0.82, Company Ticker: XOM,
  Date: 2018-05-10, Dividend: 0.6, Company Ticker: BP,
  Date: 2018-05-10, Dividend: 0.53, Company Ticker: GSK,
  Date: 2018-05-10, Dividend: 0.34, Company Ticker: PFE,
  Date: 2018-05-09, Dividend: 1.57, Company Ticker: IBM,
  Date: 2018-05-04, Dividend: 0.32, Company Ticker: C,
  Date: 2018-05-04, Dividend: 0.305, Company Ticker: ET,
  Date: 2018-05-04, Dividend: 0.3, Company Ticker: INTC,
  Date: 2018-04-30, Dividend: 0.22, Company Ticker: O,
  Date: 2018-04-27, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-04-27, Dividend: 0.35, Company Ticker: BX,
  Date: 2018-04-27, Dividend: 0.43, Company Ticker: EPD,
  Date: 2018-04-27, Dividend: 0.2, Company Ticker: KMI,
  Date: 2018-04-27, Dividend: 0.25, Company Ticker: MS,
  Date: 2018-04-27, Dividend: 0.66, Company Ticker: OHI,
  Date: 2018-04-27, Dividend: 0.8, Company Ticker: OKE,
  Date: 2018-04-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-04-12, Dividend: 0.96, Company Ticker: ABBV,
  Date: 2018-04-09, Dividend: 0.5, Company Ticker: T,
  Date: 2018-04-09, Dividend: 0.59, Company Ticker: VZ,
  Date: 2018-04-05, Dividend: 0.56, Company Ticker: JPM,
  Date: 2018-03-29, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2018-03-29, Dividend: 0.22, Company Ticker: O,
  Date: 2018-03-28, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-03-28, Dividend: 0.25, Company Ticker: IIPR,
  Date: 2018-03-28, Dividend: 0.3, Company Ticker: NLY,
  Date: 2018-03-28, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-03-21, Dividend: 1.07, Company Ticker: PM,
  Date: 2018-03-15, Dividend: 0.57, Company Ticker: GILD,
  Date: 2018-03-14, Dividend: 0.06, Company Ticker: DVN,
  Date: 2018-03-14, Dividend: 0.7, Company Ticker: MO,
  Date: 2018-03-14, Dividend: 0.48, Company Ticker: MRK,
  Date: 2018-03-08, Dividend: 0.63, Company Ticker: KHC,
  Date: 2018-03-07, Dividend: 0.14, Company Ticker: NEM,
  Date: 2018-03-07, Dividend: 0.15, Company Ticker: VALE,
  Date: 2018-03-02, Dividend: 0.54, Company Ticker: LUMN,
  Date: 2018-03-01, Dividend: 1.8, Company Ticker: RIO,
  Date: 2018-02-28, Dividend: 0.22, Company Ticker: O,
  Date: 2018-02-27, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-02-27, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-02-22, Dividend: 0.64, Company Ticker: GSK,
  Date: 2018-02-20, Dividend: 0.9, Company Ticker: PRU,
  Date: 2018-02-16, Dividend: 0.58, Company Ticker: SO,
  Date: 2018-02-16, Dividend: 0.91, Company Ticker: UPS,
  Date: 2018-02-15, Dividend: 0.6, Company Ticker: BP,
  Date: 2018-02-15, Dividend: 1.12, Company Ticker: CVX,
  Date: 2018-02-15, Dividend: 0.89, Company Ticker: DUK,
  Date: 2018-02-15, Dividend: 1.36, Company Ticker: MMM,
  Date: 2018-02-14, Dividend: 1.32, Company Ticker: AMGN,
  Date: 2018-02-14, Dividend: 0.53, Company Ticker: ENB,
  Date: 2018-02-14, Dividend: 0.4, Company Ticker: WBA,
  Date: 2018-02-13, Dividend: 1.95, Company Ticker: SPG,
  Date: 2018-02-12, Dividend: 0.8, Company Ticker: VLO,
  Date: 2018-02-09, Dividend: 0.85, Company Ticker: BX,
  Date: 2018-02-09, Dividend: 0.77, Company Ticker: XOM,
  Date: 2018-02-08, Dividend: 1.5, Company Ticker: IBM,
  Date: 2018-02-07, Dividend: 0.305, Company Ticker: ET,
  Date: 2018-02-06, Dividend: 0.3, Company Ticker: INTC,
  Date: 2018-02-02, Dividend: 0.32, Company Ticker: C,
  Date: 2018-02-01, Dividend: 0.34, Company Ticker: PFE,
  Date: 2018-01-31, Dividend: 0.22, Company Ticker: O,
  Date: 2018-01-30, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2018-01-30, Dividend: 0.43, Company Ticker: EPD,
  Date: 2018-01-30, Dividend: 0.13, Company Ticker: KMI,
  Date: 2018-01-30, Dividend: 0.25, Company Ticker: MS,
  Date: 2018-01-30, Dividend: 0.66, Company Ticker: OHI,
  Date: 2018-01-30, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2018-01-26, Dividend: 0.77, Company Ticker: OKE,
  Date: 2018-01-11, Dividend: 0.71, Company Ticker: ABBV,
  Date: 2018-01-09, Dividend: 0.5, Company Ticker: T,
  Date: 2018-01-09, Dividend: 0.59, Company Ticker: VZ,
  Date: 2018-01-04, Dividend: 0.56, Company Ticker: JPM,
  Date: 2017-12-29, Dividend: 0.21, Company Ticker: O,
  Date: 2017-12-28, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2017-12-28, Dividend: 0.25, Company Ticker: IIPR,
  Date: 2017-12-28, Dividend: 0.3, Company Ticker: NLY,
  Date: 2017-12-28, Dividend: 0.5, Company Ticker: NRZ,
  Date: 2017-12-28, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2017-12-22, Dividend: 0.22, Company Ticker: VALE,
  Date: 2017-12-20, Dividend: 0.66, Company Ticker: MO,
  Date: 2017-12-20, Dividend: 1.07, Company Ticker: PM,
  Date: 2017-12-14, Dividend: 0.06, Company Ticker: DVN,
  Date: 2017-12-14, Dividend: 0.52, Company Ticker: GILD,
  Date: 2017-12-14, Dividend: 0.48, Company Ticker: MRK,
  Date: 2017-12-07, Dividend: 0.08, Company Ticker: NEM,
  Date: 2017-11-30, Dividend: 0.21, Company Ticker: O,
  Date: 2017-11-29, Dividend: 0.18, Company Ticker: AGNC,
  Date: 2017-11-29, Dividend: 0.06, Company Ticker: PSEC,
  Date: 2017-11-24, Dividend: 0.54, Company Ticker: LUMN,
  Date: 2017-11-24, Dividend: 0.75, Company Ticker: PRU,
  Date: 2017-11-22, Dividend: 1.18, Company Ticker: MMM,
  Date: 2017-11-20, Dividend: 0.7, Company Ticker: VLO,
  Date: 2017-11-17, Dividend: 0.58, Company Ticker: SO,
  Date: 2017-11-16, Dividend: 1.15, Company Ticker: AMGN,
  Date: 2017-11-16, Dividend: 1.08, Company Ticker: CVX,
  Date: 2017-11-16, Dividend: 0.89, Company Ticker: DUK,
  Date: 2017-11-16, Dividend: 0.63, Company Ticker: KHC,
  Date: 2017-11-15, Dividend: 1.85, Company Ticker: SPG,
  Date: 2017-11-14, Dividend: 0.47, Company Ticker: ENB,
  Date: 2017-11-10, Dividend: 0.83, Company Ticker: UPS,
  Date: 2017-11-10, Dividend: 0.4, Company Ticker: WBA,
  Date: 2017-11-10, Dividend: 0.77, Company Ticker: XOM,
  Date: 2017-11-09, Dividend: 0.6, Company Ticker: BP,
  Date: 2017-11-09, Dividend: 0.51, Company Ticker: GSK,
  Date: 2017-11-09, Dividend: 1.5, Company Ticker: IBM,
  Date: 2017-11-09, Dividend: 0.32, Company Ticker: PFE,
  Date: 2017-11-06, Dividend: 0.295, Company Ticker: ET,
